number,question,option_a,option_b,option_c,option_d,correct_answer,state
129,Vom Volk gewählt wird in Deutschland...,der Bundestag.,der Bundeskanzler / die Bundeskanzlerin.,der Ministerpräsident eines Bundeslandes.,der Bundespräsident / die Bundespräsidentin.,A,Allgemein (alle Bundesländer)
130,Welcher Stimmzettel wäre bei einer Bundestagswahl gültig? (Bildaufgabe),Antwort 1 (gültiger Stimmzettel),Antwort 2,Antwort 3,Antwort 4,A,Allgemein (alle Bundesländer)
131,In Deutschland ist ein Bürgermeister / eine Bürgermeisterin...,das Oberhaupt einer Gemeinde.,der Leiter einer Schule.,der Chef einer Bank.,der Vorsitzende einer Partei.,A,Allgemein (alle Bundesländer)
132,Viele Menschen in Deutschland arbeiten in ihrer Freizeit ehrenamtlich. Was bedeutet das?,Sie arbeiten freiwillig und unbezahlt in Vereinen und Verbänden.,Sie arbeiten als Soldaten.,Sie arbeiten in der Bundesregierung.,Sie arbeiten in einem Krankenhaus und verdienen dabei Geld.,A,Allgemein (alle Bundesländer)
133,Was ist bei Bundestags- und Landtagswahlen in Deutschland erlaubt?,Man kann durch Briefwahl seine Stimme abgeben.,Der Ehemann wählt für seine Frau mit.,Man kann am Wahltag telefonisch seine Stimme abgeben.,Kinder ab dem Alter von 14 Jahren dürfen wählen.,A,Allgemein (alle Bundesländer)
134,Man will die Buslinie abschaffen mit der Sie immer zur Arbeit fahren. Was können Sie machen um die Buslinie zu erhalten?,Ich beteilige mich an einer Bürgerinitiative für die Erhaltung der Buslinie.,Ich werde Mitglied in einem Sportverein und trainiere Radfahren.,Ich wende mich an das Finanzamt.,Ich schreibe einen Brief an das Forstamt der Gemeinde.,A,Allgemein (alle Bundesländer)
135,Wen vertreten die Gewerkschaften in Deutschland?,Arbeitnehmer und Arbeitnehmerinnen,große Unternehmen,kleine Unternehmen,Selbständige,A,Allgemein (alle Bundesländer)
136,Sie gehen in Deutschland zum Arbeitsgericht bei...,ungerechtfertigter Kündigung durch Ihren Chef.,falscher Nebenkostenabrechnung.,Problemen mit den Nachbarn.,Schwierigkeiten nach einem Verkehrsunfall.,A,Allgemein (alle Bundesländer)
137,Welches Gericht ist in Deutschland bei Konflikten in der Arbeitswelt zuständig?,das Arbeitsgericht,das Familiengericht,das Strafgericht,das Amtsgericht,A,Allgemein (alle Bundesländer)
138,Was kann ich in Deutschland machen wenn mir mein Arbeitgeber zu Unrecht gekündigt hat?,Kündigungsschutzklage erheben,weiter arbeiten und freundlich zum Chef sein,ein Mahnverfahren gegen den Arbeitgeber führen,den Arbeitgeber bei der Polizei anzeigen,A,Allgemein (alle Bundesländer)
139,Wann kommt es in Deutschland zu einem Prozess vor Gericht? Wenn jemand...,eine Straftat begangen hat und angeklagt wird.,zu einer anderen Religion übertritt.,eine andere Meinung als die der Regierung vertritt.,sein Auto falsch geparkt hat und es abgeschleppt wird.,A,Allgemein (alle Bundesländer)
140,Was macht ein Schöffe in Deutschland?,entscheidet mit Richtern über Schuld und Strafe.,gibt Bürgern rechtlichen Rat.,stellt Urkunden aus.,verteidigt den Angeklagten.,A,Allgemein (alle Bundesländer)
141,Wer berät in Deutschland Personen bei Rechtsfragen und vertritt sie vor Gericht?,ein Rechtsanwalt / eine Rechtsanwältin,ein Richter / eine Richterin,ein Schöffe / eine Schöffin,ein Staatsanwalt / eine Staatsanwältin,A,Allgemein (alle Bundesländer)
142,Was ist die Hauptaufgabe eines Richters in Deutschland?,arbeitet an einem Gericht und spricht Urteile.,vertritt Bürger vor einem Gericht.,ändert Gesetze.,betreut Jugendliche vor Gericht.,A,Allgemein (alle Bundesländer)
143,Ein Richter in Deutschland gehört zur...,Judikative.,Exekutive.,Operative.,Legislative.,A,Allgemein (alle Bundesländer)
144,Ein Richter gehört in Deutschland zur... (2),rechtsprechenden Gewalt.,vollziehenden Gewalt.,planenden Gewalt.,gesetzgebenden Gewalt.,A,Allgemein (alle Bundesländer)
145,Für welche Staatsgewalt arbeitet ein Richter in Deutschland?,Judikative.,Exekutive.,Presse.,Legislative.,A,Allgemein (alle Bundesländer)
146,Wie nennt man in Deutschland ein Verfahren vor einem Gericht?,Prozess,Programm,Prozedur,Protokoll,A,Allgemein (alle Bundesländer)
147,Was ist die Arbeit eines Richters in Deutschland?,Recht sprechen,Deutschland regieren,Pläne erstellen,Gesetze erlassen,A,Allgemein (alle Bundesländer)
148,Was ist eine Aufgabe der Polizei in Deutschland?,die Einhaltung von Gesetzen zu überwachen,das Land zu verteidigen,die Bürgerinnen und Bürger abzuhören,die Gesetze zu beschließen,A,Allgemein (alle Bundesländer)
149,Was ist ein Beispiel für antisemitisches Verhalten?,den Holocaust leugnen,ein jüdisches Fest besuchen,die israelische Regierung kritisieren,gegen Juden Fußball spielen,A,Allgemein (alle Bundesländer)
150,Ein Gerichtsschöffe in Deutschland ist...,ein ehrenamtlicher Richter / eine ehrenamtliche Richterin.,der Stellvertreter des Stadtoberhaupts.,ein Mitglied eines Gemeinderats.,eine Person die Jura studiert hat.,A,Allgemein (alle Bundesländer)
151,Wer baute die Mauer in Berlin?,die DDR,Großbritannien,die Bundesrepublik Deutschland,die USA,A,Allgemein (alle Bundesländer)
152,Wann waren die Nationalsozialisten mit Adolf Hitler in Deutschland an der Macht?,1933 bis 1945,1918 bis 1923,1932 bis 1950,1945 bis 1989,A,Allgemein (alle Bundesländer)
153,Was war am 8. Mai 1945?,Ende des Zweiten Weltkriegs in Europa,Tod Adolf Hitlers,Beginn des Berliner Mauerbaus,Wahl von Konrad Adenauer zum Bundeskanzler,A,Allgemein (alle Bundesländer)
154,Wann war der Zweite Weltkrieg zu Ende?,1945,1933,1949,1961,A,Allgemein (alle Bundesländer)
155,Wann waren die Nationalsozialisten in Deutschland an der Macht? (2),1933 bis 1945,1888 bis 1918,1921 bis 1934,1949 bis 1963,A,Allgemein (alle Bundesländer)
156,In welchem Jahr wurde Hitler Reichskanzler?,1933,1923,1927,1936,A,Allgemein (alle Bundesländer)
157,Die Nationalsozialisten mit Adolf Hitler errichteten 1933 in Deutschland...,eine Diktatur.,einen demokratischen Staat.,eine Monarchie.,ein Fürstentum.,A,Allgemein (alle Bundesländer)
158,Das Dritte Reich war eine...,Diktatur.,Demokratie.,Monarchie.,Räterepublik.,A,Allgemein (alle Bundesländer)
159,Was gab es in Deutschland nicht während der Zeit des Nationalsozialismus?,freie Wahlen,Pressezensur,willkürliche Verhaftungen,Verfolgung der Juden,A,Allgemein (alle Bundesländer)
160,Welcher Krieg dauerte von 1939 bis 1945?,der Zweite Weltkrieg,der Erste Weltkrieg,der Vietnamkrieg,der Golfkrieg,A,Allgemein (alle Bundesländer)
161,Was kennzeichnete den NS-Staat?,Eine Politik des staatlichen Rassismus,Eine Politik der Meinungsfreiheit,Eine Politik der allgemeinen Religionsfreiheit,Eine Politik der Entwicklung der Demokratie,A,Allgemein (alle Bundesländer)
162,Claus Schenk Graf von Stauffenberg wurde bekannt durch...,das Attentat auf Hitler am 20. Juli 1944.,eine Goldmedaille bei den Olympischen Spielen 1936.,den Bau des Reichstagsgebäudes.,den Aufbau der Wehrmacht.,A,Allgemein (alle Bundesländer)
163,In welchem Jahr zerstörten die Nationalsozialisten Synagogen und jüdische Geschäfte in Deutschland?,1938,1925,1930,1945,A,Allgemein (alle Bundesländer)
164,Was passierte am 9. November 1938 in Deutschland?,Jüdische Geschäfte und Synagogen wurden durch Nationalsozialisten zerstört.,Mit dem Angriff auf Polen begann der Zweite Weltkrieg.,Die Nationalsozialisten verloren eine Wahl und lösten den Reichstag auf.,Hitler wurde Reichspräsident und ließ alle Parteien verbieten.,A,Allgemein (alle Bundesländer)
165,Wie hieß der erste Bundeskanzler der Bundesrepublik Deutschland?,Konrad Adenauer,Kurt Georg Kiesinger,Helmut Schmidt,Willy Brandt,A,Allgemein (alle Bundesländer)
166,Bei welchen Demonstrationen in Deutschland riefen die Menschen Wir sind das Volk?,bei den Montagsdemonstrationen 1989 in der DDR,beim Arbeiteraufstand 1953 in der DDR,bei den Demonstrationen 1968 in der Bundesrepublik Deutschland,bei den Anti-Atomkraft-Demonstrationen 1985,A,Allgemein (alle Bundesländer)
167,Welche Länder wurden nach dem Zweiten Weltkrieg als Alliierte Besatzungsmächte in Deutschland bezeichnet?,"USA, Sowjetunion, Großbritannien, Frankreich","Sowjetunion, Großbritannien, Polen, Schweden","Frankreich, Sowjetunion, Italien, Japan","USA, Sowjetunion, Spanien, Portugal",A,Allgemein (alle Bundesländer)
168,Welches Land war keine Alliierte Besatzungsmacht in Deutschland?,Japan,USA,Sowjetunion,Frankreich,A,Allgemein (alle Bundesländer)
169,Wann wurde die Bundesrepublik Deutschland gegründet?,1949,1939,1945,1951,A,Allgemein (alle Bundesländer)
170,Was gab es während der Zeit des Nationalsozialismus in Deutschland?,das Verbot von Parteien,das Recht zur freien Entfaltung der Persönlichkeit,Pressefreiheit,den Schutz der Menschenwürde,A,Allgemein (alle Bundesländer)
171,Soziale Marktwirtschaft bedeutet die Wirtschaft...,richtet sich nach Angebot und Nachfrage aber der Staat sorgt für einen sozialen Ausgleich.,steuert sich allein nach Angebot und Nachfrage.,wird vom Staat geplant und gesteuert.,richtet sich nach der Nachfrage im Ausland.,A,Allgemein (alle Bundesländer)
172,In welcher Besatzungszone wurde die DDR gegründet?,sowjetischen Besatzungszone.,amerikanischen Besatzungszone.,französischen Besatzungszone.,britischen Besatzungszone.,A,Allgemein (alle Bundesländer)
173,Die Bundesrepublik Deutschland ist ein Gründungsmitglied...,des Nordatlantikpakts (NATO).,der Vereinten Nationen (VN).,der Europäischen Union (EU).,des Warschauer Pakts.,A,Allgemein (alle Bundesländer)
174,Wann wurde die DDR gegründet?,1949,1947,1953,1956,A,Allgemein (alle Bundesländer)
175,Wie viele Besatzungszonen gab es in Deutschland nach dem Zweiten Weltkrieg?,4,3,5,6,A,Allgemein (alle Bundesländer)
176,Wie waren die Besatzungszonen Deutschlands nach 1945 verteilt? (Bildaufgabe),"1=Großbritannien, 2=Sowjetunion, 3=USA, 4=Frankreich","1=Großbritannien, 2=Sowjetunion, 3=Frankreich, 4=USA","1=Sowjetunion, 2=Großbritannien, 3=USA, 4=Frankreich","1=Großbritannien, 2=USA, 3=Sowjetunion, 4=Frankreich",A,Allgemein (alle Bundesländer)
177,Welche deutsche Stadt wurde nach dem Zweiten Weltkrieg in vier Sektoren aufgeteilt?,Berlin,München,Dresden,Frankfurt/Oder,A,Allgemein (alle Bundesländer)
178,Vom Juni 1948 bis zum Mai 1949 wurden die Bürger von West-Berlin durch eine Luftbrücke versorgt. Welcher Umstand war dafür verantwortlich?,Die Sowjetunion unterbrach den gesamten Verkehr auf dem Landwege.,Für Frankreich war eine Versorgung mit dem Flugzeug kostengünstiger.,Die amerikanischen Soldaten hatten beim Landtransport Angst vor Überfällen.,Für Großbritannien war die Versorgung über die Luftbrücke schneller.,A,Allgemein (alle Bundesländer)
179,Wie endete der Zweite Weltkrieg in Europa offiziell?,durch die bedingungslose Kapitulation Deutschlands,mit dem Tod Adolf Hitlers,mit dem Rückzug der Deutschen aus den besetzten Gebieten,durch eine Revolution in Deutschland,A,Allgemein (alle Bundesländer)
180,Der erste Bundeskanzler der Bundesrepublik Deutschland war...,Konrad Adenauer.,Ludwig Erhard.,Willy Brandt.,Gerhard Schröder.,A,Allgemein (alle Bundesländer)
181,Was wollte Willy Brandt mit seinem Kniefall 1970 in Warschau ausdrücken?,Er bat Polen und die polnischen Juden um Vergebung.,Er hat sich den ehemaligen Alliierten unterworfen.,Er zeigte seine Demut vor dem Warschauer Pakt.,Er sprach ein Gebet am Grab des Unbekannten Soldaten.,A,Allgemein (alle Bundesländer)
182,Wie heißt das jüdische Gebetshaus?,Synagoge,Basilika,Moschee,Kirche,A,Allgemein (alle Bundesländer)
183,Wann war in der Bundesrepublik Deutschland das Wirtschaftswunder?,50er Jahre,40er Jahre,70er Jahre,80er Jahre,A,Allgemein (alle Bundesländer)
184,Auf welcher rechtlichen Grundlage wurde der Staat Israel gegründet?,eine Resolution der Vereinten Nationen,ein Beschluss des Zionistenkongresses,ein Vorschlag der Bundesregierung,ein Vorschlag der UdSSR,A,Allgemein (alle Bundesländer)
185,Wofür stand der Ausdruck Eiserner Vorhang?,Für die Abschottung des Warschauer Pakts gegen den Westen.,Für die Abschottung Norddeutschlands gegen Süddeutschland.,Für die Abschottung Nazi-Deutschlands gegen die Alliierten.,Für die Abschottung Europas gegen die USA.,A,Allgemein (alle Bundesländer)
186,Im Jahr 1953 gab es in der DDR einen Aufstand. An welchem Datum war der Feiertag der daran erinnerte?,17. Juni,1. Mai,20. Juli,9. November,A,Allgemein (alle Bundesländer)
187,Welcher deutsche Staat hatte eine schwarz-rot-goldene Flagge mit Hammer Zirkel und Ährenkranz? (Bildaufgabe),DDR,Preußen,Bundesrepublik Deutschland,Drittes Reich,A,Allgemein (alle Bundesländer)
188,In welchem Jahr wurde die Mauer in Berlin gebaut?,1961,1953,1956,1959,A,Allgemein (alle Bundesländer)
189,Wann baute die DDR die Mauer in Berlin?,1961,1919,1933,1990,A,Allgemein (alle Bundesländer)
190,Was bedeutet die Abkürzung DDR?,Deutsche Demokratische Republik,Dritter Deutscher Rundfunk,Die Deutsche Republik,Dritte Deutsche Republik,A,Allgemein (alle Bundesländer)
191,Wann wurde die Mauer in Berlin für alle geöffnet?,1989,1987,1992,1995,A,Allgemein (alle Bundesländer)
192,Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR? (Brandenburg),Brandenburg,Bayern,Saarland,Hessen,A,Allgemein (alle Bundesländer)
193,Von 1961 bis 1989 war Berlin...,durch eine Mauer geteilt.,ohne Bürgermeister.,ein eigener Staat.,nur mit dem Flugzeug erreichbar.,A,Allgemein (alle Bundesländer)
194,Am 3. Oktober feiert man in Deutschland den Tag der Deutschen...,Einheit.,Nation.,Bundesländer.,Städte.,A,Allgemein (alle Bundesländer)
195,Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR? (Sachsen-Anhalt),Sachsen-Anhalt,Hessen,Nordrhein-Westfalen,Saarland,A,Allgemein (alle Bundesländer)
196,Warum nennt man die Zeit im Herbst 1989 in der DDR Die Wende?,In dieser Zeit veränderte sich die DDR von einer Diktatur zur Demokratie.,von einer liberalen Marktwirtschaft zum Sozialismus.,von einer Monarchie zur Sozialdemokratie.,von einem religiösen Staat zu einem kommunistischen Staat.,A,Allgemein (alle Bundesländer)
197,Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR? (Thüringen),Thüringen,Hessen,Bayern,Bremen,A,Allgemein (alle Bundesländer)
198,Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR? (Sachsen),Sachsen,Bayern,Niedersachsen,Baden-Württemberg,A,Allgemein (alle Bundesländer)
199,Mit der Abkürzung Stasi meinte man in der DDR...,das Ministerium für Staatssicherheit.,das Parlament.,eine regierende Partei.,das Ministerium für Volksbildung.,A,Allgemein (alle Bundesländer)
200,Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR? (Mecklenburg-Vorpommern),Mecklenburg-Vorpommern,Hessen,Schleswig-Holstein,Saarland,A,Allgemein (alle Bundesländer)
201,Welche Auflistung enthält nur Bundesländer die zum Gebiet der früheren DDR gehörten?,"Mecklenburg-Vorpommern, Brandenburg, Sachsen, Sachsen-Anhalt, Thüringen","Niedersachsen, Nordrhein-Westfalen, Hessen, Schleswig-Holstein, Brandenburg","Bayern, Baden-Württemberg, Rheinland-Pfalz, Thüringen, Sachsen","Sachsen, Thüringen, Hessen, Niedersachsen, Brandenburg",A,Allgemein (alle Bundesländer)
202,Zu wem gehörte die DDR im Kalten Krieg?,zum Warschauer Pakt,zu den Westmächten,zur NATO,zu den blockfreien Staaten,A,Allgemein (alle Bundesländer)
203,Wie hieß das Wirtschaftssystem der DDR?,Planwirtschaft,Marktwirtschaft,Angebot und Nachfrage,Kapitalismus,A,Allgemein (alle Bundesländer)
204,Wie wurden die Bundesrepublik Deutschland und die DDR zu einem Staat?,Die heutigen fünf östlichen Bundesländer sind der Bundesrepublik Deutschland beigetreten.,Die Bundesrepublik Deutschland hat die DDR besetzt.,Die westlichen Bundesländer sind der DDR beigetreten.,Die DDR hat die Bundesrepublik Deutschland besetzt.,A,Allgemein (alle Bundesländer)
205,Mit dem Beitritt der DDR zur Bundesrepublik Deutschland gehören die neuen Bundesländer nun auch...,zur Europäischen Union.,zum Warschauer Pakt.,zur OPEC.,zur Europäischen Verteidigungsgemeinschaft.,A,Allgemein (alle Bundesländer)
206,Woran erinnern die sogenannten Stolpersteine in Deutschland?,an die Opfer des Nationalsozialismus,an berühmte deutsche Politiker,an Verkehrstote,an bekannte jüdische Musiker,A,Allgemein (alle Bundesländer)
207,In welchem Militärbündnis war die DDR Mitglied?,im Warschauer Pakt,in der NATO,im Rheinbund,im Europabündnis,A,Allgemein (alle Bundesländer)
208,Was war die Stasi?,der Geheimdienst der DDR,der Geheimdienst im Dritten Reich,eine berühmte deutsche Gedenkstätte,ein deutscher Sportverein während des Zweiten Weltkrieges,A,Allgemein (alle Bundesländer)
209,Welches war das Wappen der Deutschen Demokratischen Republik? (Bildaufgabe),Antwort 1 (Wappen DDR),Antwort 2,Antwort 3,Antwort 4,A,Allgemein (alle Bundesländer)
210,Was ereignete sich am 17. Juni 1953 in der DDR?,landesweite Streiks und ein Volksaufstand,der feierliche Beitritt zum Warschauer Pakt,der 1. SED-Parteitag,der erste Besuch Fidel Castros,A,Allgemein (alle Bundesländer)
211,Welcher Politiker steht für die Ostverträge?,Willy Brandt,Helmut Kohl,Michail Gorbatschow,Ludwig Erhard,A,Allgemein (alle Bundesländer)
212,Wie heißt Deutschland mit vollem Namen?,Bundesrepublik Deutschland,Bundesstaat Deutschland,Bundesländer Deutschland,Bundesbezirk Deutschland,A,Allgemein (alle Bundesländer)
213,Wie viele Einwohner hat Deutschland?,80 Millionen,70 Millionen,78 Millionen,90 Millionen,A,Allgemein (alle Bundesländer)
214,Welche Farben hat die deutsche Flagge?,schwarz-rot-gold,rot-weiß-schwarz,schwarz-rot-grün,schwarz-gelb-rot,A,Allgemein (alle Bundesländer)
215,Wer wird als Kanzler der Deutschen Einheit bezeichnet?,Helmut Kohl,Gerhard Schröder,Konrad Adenauer,Helmut Schmidt,A,Allgemein (alle Bundesländer)
216,Welches Symbol ist im Plenarsaal des Deutschen Bundestages zu sehen? (Bildaufgabe),der Bundesadler,die Fahne der Stadt Berlin,der Reichsadler,die Reichskrone,A,Allgemein (alle Bundesländer)
217,In welchem Zeitraum gab es die Deutsche Demokratische Republik (DDR)?,1949 bis 1990,1919 bis 1927,1933 bis 1945,1945 bis 1961,A,Allgemein (alle Bundesländer)
218,Wie viele Bundesländer kamen bei der Wiedervereinigung 1990 zur Bundesrepublik Deutschland hinzu?,5,4,6,7,A,Allgemein (alle Bundesländer)
219,Die Bundesrepublik Deutschland hat die Grenzen von heute seit...,1990.,1933.,1949.,1971.,A,Allgemein (alle Bundesländer)
220,Der 27. Januar ist in Deutschland ein offizieller Gedenktag. Woran erinnert dieser Tag?,an die Opfer des Nationalsozialismus (Befreiung des Vernichtungslagers Auschwitz),an das Ende des Zweiten Weltkrieges,an die Verabschiedung des Grundgesetzes,an die Wiedervereinigung Deutschlands,A,Allgemein (alle Bundesländer)
221,Deutschland ist Mitglied des Schengener Abkommens. Was bedeutet das?,Deutsche können in viele Länder Europas ohne Passkontrolle reisen.,Alle Menschen können ohne Personenkontrolle in Deutschland einreisen.,Deutsche können ohne Passkontrolle in jedes Land reisen.,Deutsche können in jedem Land mit dem Euro bezahlen.,A,Allgemein (alle Bundesländer)
222,Welches Land ist ein Nachbarland von Deutschland? (Schweiz),Schweiz,Ungarn,Portugal,Spanien,A,Allgemein (alle Bundesländer)
223,Welches Land ist ein Nachbarland von Deutschland? (Polen),Polen,Rumänien,Bulgarien,Griechenland,A,Allgemein (alle Bundesländer)
224,Was bedeutet die Abkürzung EU?,Europäische Union,Europäische Unternehmen,Einheitliche Union,Euro Union,A,Allgemein (alle Bundesländer)
225,In welchem anderen Land gibt es eine große deutschsprachige Bevölkerung?,Österreich,Tschechien,Norwegen,Spanien,A,Allgemein (alle Bundesländer)
226,Welches ist die Flagge der Europäischen Union? (Bildaufgabe),Antwort 2 (EU-Flagge),Antwort 1,Antwort 4,Antwort 3,A,Allgemein (alle Bundesländer)
227,Welches Land ist ein Nachbarland von Deutschland? (Dänemark),Dänemark,Finnland,Norwegen,Schweden,A,Allgemein (alle Bundesländer)
228,Wie wird der Beitritt der DDR zur Bundesrepublik Deutschland im Jahr 1990 allgemein genannt?,Deutsche Wiedervereinigung,NATO-Osterweiterung,EU-Osterweiterung,Europäische Gemeinschaft,A,Allgemein (alle Bundesländer)
229,Welches Land ist ein Nachbarland von Deutschland? (Luxemburg),Luxemburg,Spanien,Bulgarien,Norwegen,A,Allgemein (alle Bundesländer)
230,Das Europäische Parlament wird regelmäßig gewählt nämlich alle...,5 Jahre.,6 Jahre.,7 Jahre.,8 Jahre.,A,Allgemein (alle Bundesländer)
231,Was bedeutet der Begriff europäische Integration?,Der Begriff meint den Zusammenschluss europäischer Staaten zur EU.,Damit sind amerikanische Einwanderer in Europa gemeint.,Der Begriff meint den Einwanderungsstopp nach Europa.,Damit sind europäische Auswanderer in den USA gemeint.,A,Allgemein (alle Bundesländer)
232,Wer wird bei der Europawahl gewählt?,die Abgeordneten des Europäischen Parlaments,die Europäische Kommission,die Länder die in die EU eintreten dürfen,die europäische Verfassung,A,Allgemein (alle Bundesländer)
233,Welches Land ist ein Nachbarland von Deutschland? (Tschechien),Tschechien,Bulgarien,Griechenland,Portugal,A,Allgemein (alle Bundesländer)
234,Wo ist der Sitz des Europäischen Parlaments?,Straßburg,London,Paris,Berlin,A,Allgemein (alle Bundesländer)
235,Welches Ziel der Europäischen Union wird beim Treffen von Mitterrand und Kohl in Verdun deutlich?,Frieden und Sicherheit in den Ländern der EU,Freundschaft zwischen England und Deutschland,Reisefreiheit in alle Länder der EU,einheitliche Feiertage in den Ländern der EU,A,Allgemein (alle Bundesländer)
236,Wie viele Mitgliedstaaten hat die EU heute?,27,21,23,25,A,Allgemein (alle Bundesländer)
237,2007 wurde das 50-jährige Jubiläum der Römischen Verträge gefeiert. Was war der Inhalt der Verträge?,Gründung der Europäischen Wirtschaftsgemeinschaft (EWG),Beitritt Deutschlands zur NATO,Verpflichtung Deutschlands zu Reparationsleistungen,Festlegung der Oder-Neiße-Linie als Ostgrenze,A,Allgemein (alle Bundesländer)
238,An welchen Orten arbeitet das Europäische Parlament?,"Straßburg, Luxemburg und Brüssel","Paris, London und Den Haag","Rom, Bern und Wien","Bonn, Zürich und Mailand",A,Allgemein (alle Bundesländer)
239,Durch welche Verträge schloss sich die Bundesrepublik Deutschland zur Europäischen Wirtschaftsgemeinschaft zusammen?,durch die Römischen Verträge,durch die Hamburger Verträge,durch die Pariser Verträge,durch die Londoner Verträge,A,Allgemein (alle Bundesländer)
240,Seit wann bezahlt man in Deutschland mit dem Euro in bar?,2002,1995,1998,2005,A,Allgemein (alle Bundesländer)
241,Frau Seger bekommt ein Kind. Was muss sie tun um Elterngeld zu erhalten?,Sie muss einen Antrag bei der Elterngeldstelle stellen.,Sie muss an ihre Krankenkasse schreiben.,Sie muss nichts tun denn sie bekommt automatisch Elterngeld.,Sie muss das Arbeitsamt um Erlaubnis bitten.,A,Allgemein (alle Bundesländer)
242,Wer entscheidet ob ein Kind in Deutschland in den Kindergarten geht?,die Eltern / die Erziehungsberechtigten,der Staat,die Bundesländer,die Schulen,A,Allgemein (alle Bundesländer)
243,Maik und Sybille wollen eine Demonstration auf der Straße abhalten. Was müssen sie vorher tun?,Sie müssen die Demonstration anmelden.,Sie müssen nichts tun.,Demonstrationen sind in Deutschland grundsätzlich verboten.,Sie müssen einen neuen Verein gründen.,A,Allgemein (alle Bundesländer)
244,Welchen Schulabschluss braucht man normalerweise um an einer Universität in Deutschland ein Studium zu beginnen?,das Abitur,ein Diplom,die Prokura,eine Gesellenprüfung,A,Allgemein (alle Bundesländer)
245,Wer darf in Deutschland nicht als Paar zusammenleben?,Anne (13 Jahre) und Tim (25 Jahre),Hans (20 Jahre) und Marie (19 Jahre),Tom (20 Jahre) und Klaus (45 Jahre),Sofie (35 Jahre) und Lisa (40 Jahre),A,Allgemein (alle Bundesländer)
246,Ab welchem Alter ist man in Deutschland volljährig?,18,16,19,21,A,Allgemein (alle Bundesländer)
247,Eine Frau ist schwanger. Wie heißt der gesetzliche Schutz kurz vor und nach der Geburt ihres Kindes?,Mutterschutz,Elternzeit,Geburtsvorbereitung,Wochenbett,A,Allgemein (alle Bundesländer)
248,Die Erziehung der Kinder ist in Deutschland vor allem Aufgabe...,der Eltern.,des Staates.,der Großeltern.,der Schulen.,A,Allgemein (alle Bundesländer)
249,Wer ist in Deutschland hauptsächlich verantwortlich für die Kindererziehung?,die Eltern,der Staat,die Verwandten,die Schulen,A,Allgemein (alle Bundesländer)
250,In Deutschland hat man die besten Chancen auf einen gut bezahlten Arbeitsplatz wenn man...,gut ausgebildet ist.,katholisch ist.,eine Frau ist.,Mitglied einer Partei ist.,A,Allgemein (alle Bundesländer)
251,Wenn man in Deutschland ein Kind schlägt...,kann man dafür bestraft werden.,geht das niemanden etwas an.,geht das nur die Familie etwas an.,kann man dafür nicht bestraft werden.,A,Allgemein (alle Bundesländer)
252,In Deutschland...,darf man zur gleichen Zeit nur mit einem Partner verheiratet sein.,kann man mehrere Ehepartner gleichzeitig haben.,darf man nicht wieder heiraten wenn man einmal verheiratet war.,darf eine Frau nicht wieder heiraten wenn ihr Mann gestorben ist.,A,Allgemein (alle Bundesländer)
253,Wo müssen Sie sich anmelden wenn Sie in Deutschland umziehen?,beim Einwohnermeldeamt,beim Standesamt,beim Ordnungsamt,beim Gewerbeamt,A,Allgemein (alle Bundesländer)
254,Was bedeutet das Trennungsjahr bei einer Scheidung in Deutschland?,Mann und Frau führen mindestens ein Jahr getrennt ihr eigenes Leben. Danach ist die Scheidung möglich.,Der Scheidungsprozess dauert ein Jahr.,Mann und Frau sind ein Jahr verheiratet dann ist die Scheidung möglich.,Das Besuchsrecht für die Kinder gilt ein Jahr.,A,Allgemein (alle Bundesländer)
255,Bei Erziehungsproblemen können Eltern in Deutschland Hilfe erhalten vom...,Jugendamt.,Ordnungsamt.,Schulamt.,Gesundheitsamt.,A,Allgemein (alle Bundesländer)
256,Ein Ehepaar möchte in Deutschland ein Restaurant eröffnen. Was braucht es dazu unbedingt?,eine Gaststättenerlaubnis von der zuständigen Behörde,eine Erlaubnis der Polizei,eine Genehmigung einer Partei,eine Genehmigung des Einwohnermeldeamts,A,Allgemein (alle Bundesländer)
257,Eine erwachsene Frau möchte in Deutschland das Abitur nachholen. Das kann sie an...,einem Abendgymnasium.,einer Hochschule.,einer Hauptschule.,einer Privatuniversität.,A,Allgemein (alle Bundesländer)
258,Was darf das Jugendamt in Deutschland?,Es kann ein Kind das geschlagen wird oder hungern muss aus der Familie nehmen.,Es entscheidet welche Schule das Kind besucht.,Es bezahlt das Kindergeld an die Eltern.,Es kontrolliert ob das Kind einen Kindergarten besucht.,A,Allgemein (alle Bundesländer)
259,Das Berufsinformationszentrum BIZ hilft bei der...,Lehrstellensuche.,Rentenberechnung.,Steuererklärung.,Krankenversicherung.,A,Allgemein (alle Bundesländer)
260,In Deutschland hat ein Kind in der Schule...,Anwesenheitspflicht.,Recht auf unbegrenzte Freizeit.,Wahlfreiheit für alle Fächer.,Anspruch auf Schulgeld.,A,Allgemein (alle Bundesländer)
261,Ein Mann möchte mit 30 Jahren in Deutschland sein Abitur nachholen. Wo kann er das tun?,einem Abendgymnasium,einer Hochschule,einer Hauptschule,einer Privatuniversität,A,Allgemein (alle Bundesländer)
